CODPROD;TIPO;FECHA;CANTIDAD
2025;VENTA;2023/1/1;53
2035;VENTA;2023/1/1;31
2038;VENTA;2023/1/1;8
2040;VENTA;2023/1/1;13
2046;VENTA;2023/1/1;23
2048;VENTA;2023/1/1;17
2051;VENTA;2023/1/1;35
2025;VENTA;2023/1/2;8
2028;VENTA;2023/1/2;40
2031;VENTA;2023/1/2;42
2036;VENTA;2023/1/2;14
2038;VENTA;2023/1/2;19
2047;VENTA;2023/1/2;44
2047;VENTA;2023/1/2;30
2051;VENTA;2023/1/2;25
2052;VENTA;2023/1/2;52
2053;VENTA;2023/1/2;15
2022;VENTA;2023/1/3;14
2022;VENTA;2023/1/3;39
2023;VENTA;2023/1/3;31
2026;VENTA;2023/1/3;49
2027;VENTA;2023/1/3;18
2031;VENTA;2023/1/3;43
2031;VENTA;2023/1/3;53
2038;VENTA;2023/1/3;48
2039;VENTA;2023/1/3;15
2040;VENTA;2023/1/3;26
2050;VENTA;2023/1/3;5
2051;VENTA;2023/1/3;22
2053;VENTA;2023/1/3;16
2023;VENTA;2023/1/4;29
2026;VENTA;2023/1/4;52
2026;VENTA;2023/1/4;13
2027;VENTA;2023/1/4;1
2029;VENTA;2023/1/4;51
2033;VENTA;2023/1/4;47
2035;VENTA;2023/1/4;32
2036;VENTA;2023/1/4;40
2037;VENTA;2023/1/4;21
2038;VENTA;2023/1/4;16
2039;VENTA;2023/1/4;8
2046;VENTA;2023/1/4;13
2049;VENTA;2023/1/4;4
2051;VENTA;2023/1/4;52
2052;VENTA;2023/1/4;12
2053;VENTA;2023/1/4;26
2021;VENTA;2023/1/5;25
2025;VENTA;2023/1/5;23
2027;VENTA;2023/1/5;41
2036;VENTA;2023/1/5;20
2041;VENTA;2023/1/5;14
2041;VENTA;2023/1/5;6
2042;VENTA;2023/1/5;43
2042;VENTA;2023/1/5;19
2043;VENTA;2023/1/5;35
2043;VENTA;2023/1/5;52
2044;VENTA;2023/1/5;12
2045;VENTA;2023/1/5;47
2045;VENTA;2023/1/5;37
2052;VENTA;2023/1/5;11
2028;VENTA;2023/1/6;54
2031;VENTA;2023/1/6;5
2036;VENTA;2023/1/6;13
2039;VENTA;2023/1/6;21
2043;VENTA;2023/1/6;43
2043;VENTA;2023/1/6;48
2043;VENTA;2023/1/6;15
2046;VENTA;2023/1/6;54
2050;VENTA;2023/1/6;25
2021;VENTA;2023/1/7;8
2023;VENTA;2023/1/7;33
2024;VENTA;2023/1/7;52
2027;VENTA;2023/1/7;8
2029;VENTA;2023/1/7;7
2030;VENTA;2023/1/7;37
2033;VENTA;2023/1/7;8
2037;VENTA;2023/1/7;51
2039;VENTA;2023/1/7;15
2039;VENTA;2023/1/7;31
2041;VENTA;2023/1/7;22
2042;VENTA;2023/1/7;30
2044;VENTA;2023/1/7;27
2047;VENTA;2023/1/7;40
2050;VENTA;2023/1/7;36
2050;VENTA;2023/1/7;19
2052;VENTA;2023/1/7;4
2026;VENTA;2023/1/8;44
2029;VENTA;2023/1/8;38
2032;VENTA;2023/1/8;2
2034;VENTA;2023/1/8;37
2035;VENTA;2023/1/8;47
2038;VENTA;2023/1/8;47
2039;VENTA;2023/1/8;2
2046;VENTA;2023/1/8;30
2049;VENTA;2023/1/8;7
2050;VENTA;2023/1/8;33
2050;VENTA;2023/1/8;45
2051;VENTA;2023/1/8;39
2052;VENTA;2023/1/8;37
2053;VENTA;2023/1/8;12
2022;VENTA;2023/1/9;47
2024;VENTA;2023/1/9;31
2035;VENTA;2023/1/9;14
2035;VENTA;2023/1/9;38
2039;VENTA;2023/1/9;41
2041;VENTA;2023/1/9;29
2043;VENTA;2023/1/9;2
2043;VENTA;2023/1/9;50
2044;VENTA;2023/1/9;51
2048;VENTA;2023/1/9;22
2048;VENTA;2023/1/9;32
2049;VENTA;2023/1/9;15
2049;VENTA;2023/1/9;10
2050;VENTA;2023/1/9;50
2050;VENTA;2023/1/9;39
2052;VENTA;2023/1/9;10
2053;VENTA;2023/1/9;28
2053;VENTA;2023/1/9;47
2031;VENTA;2023/1/10;11
2035;VENTA;2023/1/10;9
2037;VENTA;2023/1/10;2
2044;VENTA;2023/1/10;28
2053;VENTA;2023/1/10;8
2025;VENTA;2023/1/11;40
2025;VENTA;2023/1/11;44
2025;VENTA;2023/1/11;1
2027;VENTA;2023/1/11;38
2028;VENTA;2023/1/11;44
2030;VENTA;2023/1/11;19
2030;VENTA;2023/1/11;39
2030;VENTA;2023/1/11;8
2031;VENTA;2023/1/11;48
2031;VENTA;2023/1/11;15
2033;VENTA;2023/1/11;3
2035;VENTA;2023/1/11;29
2038;VENTA;2023/1/11;35
2039;VENTA;2023/1/11;12
2041;VENTA;2023/1/11;46
2041;VENTA;2023/1/11;41
2043;VENTA;2023/1/11;38
2044;VENTA;2023/1/11;32
2052;VENTA;2023/1/11;6
2021;VENTA;2023/1/12;27
2023;VENTA;2023/1/12;17
2027;VENTA;2023/1/12;54
2035;VENTA;2023/1/12;19
2038;VENTA;2023/1/12;22
2039;VENTA;2023/1/12;5
2039;VENTA;2023/1/12;35
2042;VENTA;2023/1/12;1
2043;VENTA;2023/1/12;25
2043;VENTA;2023/1/12;41
2046;VENTA;2023/1/12;6
2048;VENTA;2023/1/12;20
2048;VENTA;2023/1/12;33
2051;VENTA;2023/1/12;36
2051;VENTA;2023/1/12;42
2053;VENTA;2023/1/12;27
2054;VENTA;2023/1/12;22
2023;VENTA;2023/1/13;54
2030;VENTA;2023/1/13;42
2031;VENTA;2023/1/13;11
2034;VENTA;2023/1/13;45
2035;VENTA;2023/1/13;53
2035;VENTA;2023/1/13;49
2038;VENTA;2023/1/13;47
2040;VENTA;2023/1/13;16
2042;VENTA;2023/1/13;20
2022;VENTA;2023/1/14;44
2022;VENTA;2023/1/14;29
2025;VENTA;2023/1/14;10
2026;VENTA;2023/1/14;8
2030;VENTA;2023/1/14;42
2031;VENTA;2023/1/14;41
2033;VENTA;2023/1/14;16
2036;VENTA;2023/1/14;15
2039;VENTA;2023/1/14;42
2045;VENTA;2023/1/14;17
2049;VENTA;2023/1/14;53
2050;VENTA;2023/1/14;42
2051;VENTA;2023/1/14;2
2053;VENTA;2023/1/14;22
2053;VENTA;2023/1/14;43
2054;VENTA;2023/1/14;36
2023;VENTA;2023/1/15;53
2025;VENTA;2023/1/15;25
2028;VENTA;2023/1/15;39
2034;VENTA;2023/1/15;22
2036;VENTA;2023/1/15;34
2038;VENTA;2023/1/15;17
2039;VENTA;2023/1/15;33
2039;VENTA;2023/1/15;5
2040;VENTA;2023/1/15;12
2041;VENTA;2023/1/15;52
2045;VENTA;2023/1/15;22
2047;VENTA;2023/1/15;6
2048;VENTA;2023/1/15;8
2051;VENTA;2023/1/15;18
2052;VENTA;2023/1/15;14
2053;VENTA;2023/1/15;4
2024;VENTA;2023/1/16;49
2025;VENTA;2023/1/16;53
2029;VENTA;2023/1/16;4
2036;VENTA;2023/1/16;50
2043;VENTA;2023/1/16;11
2043;VENTA;2023/1/16;18
2044;VENTA;2023/1/16;20
2048;VENTA;2023/1/16;48
2050;VENTA;2023/1/16;33
2052;VENTA;2023/1/16;23
2022;VENTA;2023/1/17;13
2023;VENTA;2023/1/17;29
2024;VENTA;2023/1/17;19
2026;VENTA;2023/1/17;50
2026;VENTA;2023/1/17;30
2027;VENTA;2023/1/17;29
2028;VENTA;2023/1/17;52
2029;VENTA;2023/1/17;46
2033;VENTA;2023/1/17;50
2034;VENTA;2023/1/17;52
2036;VENTA;2023/1/17;44
2038;VENTA;2023/1/17;20
2038;VENTA;2023/1/17;44
2039;VENTA;2023/1/17;54
2048;VENTA;2023/1/17;7
2050;VENTA;2023/1/17;29
2051;VENTA;2023/1/17;36
2052;VENTA;2023/1/17;37
2053;VENTA;2023/1/17;30
2021;VENTA;2023/1/18;4
2031;VENTA;2023/1/18;9
2039;VENTA;2023/1/18;22
2039;VENTA;2023/1/18;29
2040;VENTA;2023/1/18;11
2040;VENTA;2023/1/18;20
2042;VENTA;2023/1/18;42
2043;VENTA;2023/1/18;32
2044;VENTA;2023/1/18;14
2054;VENTA;2023/1/18;49
2021;VENTA;2023/1/19;23
2023;VENTA;2023/1/19;6
2024;VENTA;2023/1/19;17
2031;VENTA;2023/1/19;49
2031;VENTA;2023/1/19;4
2038;VENTA;2023/1/19;13
2040;VENTA;2023/1/19;35
2040;VENTA;2023/1/19;33
2041;VENTA;2023/1/19;1
2042;VENTA;2023/1/19;5
2046;VENTA;2023/1/19;47
2047;VENTA;2023/1/19;24
2050;VENTA;2023/1/19;8
2051;VENTA;2023/1/19;2
2054;VENTA;2023/1/19;53
2031;VENTA;2023/1/20;51
2033;VENTA;2023/1/20;48
2033;VENTA;2023/1/20;50
2037;VENTA;2023/1/20;23
2039;VENTA;2023/1/20;10
2040;VENTA;2023/1/20;36
2040;VENTA;2023/1/20;19
2042;VENTA;2023/1/20;18
2045;VENTA;2023/1/20;35
2047;VENTA;2023/1/20;37
2051;VENTA;2023/1/20;19
2054;VENTA;2023/1/20;30
2021;VENTA;2023/1/21;35
2022;VENTA;2023/1/21;22
2028;VENTA;2023/1/21;2
2036;VENTA;2023/1/21;26
2036;VENTA;2023/1/21;32
2037;VENTA;2023/1/21;48
2037;VENTA;2023/1/21;39
2039;VENTA;2023/1/21;45
2040;VENTA;2023/1/21;15
2041;VENTA;2023/1/21;41
2047;VENTA;2023/1/21;33
2050;VENTA;2023/1/21;34
2052;VENTA;2023/1/21;41
2053;VENTA;2023/1/21;27
2054;VENTA;2023/1/21;7
2025;VENTA;2023/1/22;44
2025;VENTA;2023/1/22;24
2029;VENTA;2023/1/22;2
2029;VENTA;2023/1/22;42
2032;VENTA;2023/1/22;10
2039;VENTA;2023/1/22;3
2044;VENTA;2023/1/22;20
2046;VENTA;2023/1/22;16
2049;VENTA;2023/1/22;15
2050;VENTA;2023/1/22;23
2051;VENTA;2023/1/22;37
2052;VENTA;2023/1/22;39
2021;VENTA;2023/1/23;22
2024;VENTA;2023/1/23;7
2029;VENTA;2023/1/23;24
2029;VENTA;2023/1/23;49
2030;VENTA;2023/1/23;52
2031;VENTA;2023/1/23;6
2032;VENTA;2023/1/23;46
2036;VENTA;2023/1/23;19
2040;VENTA;2023/1/23;47
2044;VENTA;2023/1/23;48
2044;VENTA;2023/1/23;14
2045;VENTA;2023/1/23;32
2046;VENTA;2023/1/23;40
2051;VENTA;2023/1/23;47
2021;VENTA;2023/1/24;37
2022;VENTA;2023/1/24;40
2023;VENTA;2023/1/24;40
2024;VENTA;2023/1/24;28
2028;VENTA;2023/1/24;53
2030;VENTA;2023/1/24;51
2034;VENTA;2023/1/24;35
2036;VENTA;2023/1/24;41
2038;VENTA;2023/1/24;4
2039;VENTA;2023/1/24;4
2040;VENTA;2023/1/24;46
2046;VENTA;2023/1/24;26
2047;VENTA;2023/1/24;47
2047;VENTA;2023/1/24;51
2049;VENTA;2023/1/24;54
2050;VENTA;2023/1/24;49
2021;VENTA;2023/1/25;32
2024;VENTA;2023/1/25;11
2026;VENTA;2023/1/25;22
2027;VENTA;2023/1/25;34
2028;VENTA;2023/1/25;42
2035;VENTA;2023/1/25;45
2037;VENTA;2023/1/25;8
2038;VENTA;2023/1/25;10
2039;VENTA;2023/1/25;41
2039;VENTA;2023/1/25;17
2039;VENTA;2023/1/25;19
2041;VENTA;2023/1/25;12
2042;VENTA;2023/1/25;10
2044;VENTA;2023/1/25;46
2047;VENTA;2023/1/25;32
2051;VENTA;2023/1/25;4
2026;VENTA;2023/1/26;20
2027;VENTA;2023/1/26;36
2028;VENTA;2023/1/26;24
2032;VENTA;2023/1/26;51
2034;VENTA;2023/1/26;31
2037;VENTA;2023/1/26;28
2037;VENTA;2023/1/26;28
2039;VENTA;2023/1/26;53
2041;VENTA;2023/1/26;20
2043;VENTA;2023/1/26;32
2044;VENTA;2023/1/26;20
2052;VENTA;2023/1/26;46
2021;VENTA;2023/1/27;8
2022;VENTA;2023/1/27;37
2030;VENTA;2023/1/27;52
2030;VENTA;2023/1/27;26
2032;VENTA;2023/1/27;26
2034;VENTA;2023/1/27;15
2036;VENTA;2023/1/27;31
2036;VENTA;2023/1/27;42
2037;VENTA;2023/1/27;29
2038;VENTA;2023/1/27;46
2039;VENTA;2023/1/27;14
2040;VENTA;2023/1/27;14
2045;VENTA;2023/1/27;2
2049;VENTA;2023/1/27;41
2051;VENTA;2023/1/27;19
2051;VENTA;2023/1/27;17
2052;VENTA;2023/1/27;45
2052;VENTA;2023/1/27;48
2053;VENTA;2023/1/27;20
